epoch	loss	prec1	prec5	lr
51	0.01827678456902504	99.94255828857422	100.0	0.004
52	0.019087759777903557	99.94255828857422	100.0	0.004
53	0.01813063584268093	99.8851089477539	100.0	0.004
54	0.01760195381939411	99.97702026367188	100.0	0.004
55	0.016693048179149628	99.93106842041016	100.0	0.0004000000000000001
56	0.017755383625626564	99.9195785522461	100.0	0.0004000000000000001
57	0.019282909110188484	99.86212921142578	100.0	0.0004000000000000001
58	0.017885733395814896	99.87361907958984	100.0	0.0004000000000000001
59	0.01664104498922825	100.0	100.0	0.0004000000000000001
60	0.018688667565584183	99.83915710449219	100.0	0.0004000000000000001
61	0.018507208675146103	99.87361907958984	100.0	0.0004000000000000001
62	0.01731969229876995	99.87361907958984	100.0	0.0004000000000000001
63	0.015701361000537872	99.96553039550781	100.0	0.0004000000000000001
64	0.01642698422074318	99.96553039550781	100.0	0.0004000000000000001
65	0.018466176465153694	99.90808868408203	100.0	4.000000000000001e-05
66	0.01665993221104145	99.96553039550781	100.0	4.000000000000001e-05
67	0.015371264889836311	99.94255828857422	100.0	4.000000000000001e-05
68	0.016207456588745117	99.95404815673828	100.0	4.000000000000001e-05
69	0.01734551228582859	99.94255828857422	100.0	4.000000000000001e-05
70	0.01628543622791767	99.93106842041016	100.0	4.000000000000001e-06
71	0.017533885315060616	99.89659881591797	100.0	4.000000000000001e-06
72	0.019231222569942474	99.82766723632812	100.0	4.000000000000001e-06
73	0.019704723730683327	99.81617736816406	100.0	4.000000000000001e-06
74	0.01760963536798954	99.93106842041016	100.0	4.000000000000001e-06
75	0.01665504090487957	99.95404815673828	100.0	4.000000000000001e-06
76	0.017795924097299576	99.8851089477539	100.0	4.000000000000001e-06
77	0.017191531136631966	99.86212921142578	100.0	4.000000000000001e-06
78	0.017332540825009346	99.86212921142578	100.0	4.000000000000001e-06
79	0.017580093815922737	99.89659881591797	100.0	4.000000000000001e-06
80	0.020531432703137398	99.79319763183594	100.0	4.000000000000001e-06
81	0.016997676342725754	99.96553039550781	100.0	4.000000000000001e-06
82	0.015318268910050392	99.96553039550781	100.0	4.000000000000001e-06
83	0.0186767578125	99.93106842041016	100.0	4.000000000000001e-06
84	0.015981875360012054	99.96553039550781	100.0	4.000000000000001e-06
85	0.016005514189600945	99.93106842041016	100.0	4.000000000000001e-06
86	0.01775389164686203	99.90808868408203	100.0	4.000000000000001e-06
87	0.016017526388168335	99.96553039550781	100.0	4.000000000000001e-06
88	0.0179013479501009	99.90808868408203	100.0	4.000000000000001e-06
89	0.016375532373785973	99.93106842041016	100.0	4.000000000000001e-06
90	0.016032597050070763	99.96553039550781	100.0	4.000000000000001e-06
91	0.017699724063277245	99.95404815673828	100.0	4.000000000000001e-06
92	0.015802253037691116	99.96553039550781	100.0	4.000000000000001e-06
93	0.017256757244467735	99.9195785522461	100.0	4.000000000000001e-06
94	0.015777308493852615	99.97702026367188	100.0	4.000000000000001e-06
95	0.020543619990348816	99.87361907958984	100.0	4.000000000000001e-06
96	0.016418790444731712	99.96553039550781	100.0	4.000000000000001e-06
97	0.01949453540146351	99.85064697265625	100.0	4.000000000000001e-06
98	0.017677009105682373	99.85064697265625	100.0	4.000000000000001e-06
99	0.015623875893652439	100.0	100.0	4.000000000000001e-06
100	0.017044948413968086	99.89659881591797	100.0	4.000000000000001e-06
